                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97266,                 4.5002,                 1.2171,                0.50195,                0.25564,                0.08411,                0.07126,                0.64077,                 3.5522,                 1.0889,             0.00011004,             0.00011004,             0.00011004
                      2,                 0.7947,                 3.4903,                 1.0996,                0.39353,                0.20307,                 0.2005,                0.17498,                0.61952,                 3.1563,                 1.0979,              0.0002174,              0.0002174,              0.0002174
                      3,                0.77514,                 2.9825,                 1.0925,                0.33139,                0.42721,                0.37777,                0.33023,                0.58577,                 2.5082,                 1.0611,             0.00032109,             0.00032109,             0.00032109
                      4,                0.75897,                 2.5702,                 1.0739,                0.41251,                0.51848,                0.51291,                0.43667,                0.62544,                 2.1832,                 1.0817,             0.00031652,             0.00031652,             0.00031652
                      5,                0.75283,                 2.2713,                 1.0776,                 0.4131,                0.49193,                0.47133,                0.39112,                0.72632,                 2.4387,                 1.1745,             0.00031652,             0.00031652,             0.00031652
                      6,                0.71803,                 2.1242,                 1.0481,                0.53959,                0.57866,                0.63566,                0.53878,                0.60244,                 1.8528,                 1.0439,             0.00031102,             0.00031102,             0.00031102
                      7,                0.68345,                 1.9108,                  1.025,                0.66486,                0.59693,                0.67796,                0.57989,                0.63202,                 1.7059,                 1.0956,             0.00030553,             0.00030553,             0.00030553
                      8,                 0.6451,                 1.7365,                0.98292,                0.64882,                0.63809,                0.70219,                0.60064,                 0.6438,                 1.8065,                 1.0847,             0.00030003,             0.00030003,             0.00030003
                      9,                0.63025,                 1.6465,                0.99244,                0.71517,                0.59695,                0.71308,                0.60525,                0.57503,                 1.8275,                 1.0244,             0.00029454,             0.00029454,             0.00029454
                     10,                0.62826,                 1.5402,                0.99124,                0.59442,                0.66704,                0.68366,                0.58906,                0.60938,                 1.9123,                 1.0576,             0.00028904,             0.00028904,             0.00028904
                     11,                0.61293,                 1.4412,                0.98639,                0.65621,                0.70723,                0.76505,                0.67443,                0.53088,                 1.4852,                 1.0145,             0.00028355,             0.00028355,             0.00028355
                     12,                0.60709,                 1.3932,                0.98717,                0.79067,                0.62785,                0.80487,                0.68401,                0.59534,                 1.5467,                 1.0555,             0.00027806,             0.00027806,             0.00027806
                     13,                0.59768,                 1.3332,                0.96988,                0.73455,                0.68808,                0.80179,                0.68965,                0.58378,                 1.3702,                 1.0531,             0.00027256,             0.00027256,             0.00027256
                     14,                0.58261,                  1.286,                0.96734,                0.77299,                0.72223,                0.80074,                0.70537,                0.55333,                 1.5027,                 1.0148,             0.00026707,             0.00026707,             0.00026707
                     15,                0.60465,                 1.2573,                0.96639,                0.78352,                0.74438,                0.82217,                0.72502,                0.53629,                 1.2573,                0.99668,             0.00026157,             0.00026157,             0.00026157
                     16,                0.58858,                 1.2219,                0.97602,                0.80044,                0.70067,                0.81901,                0.71484,                0.55673,                 1.3522,                 1.0303,             0.00025608,             0.00025608,             0.00025608
                     17,                0.55732,                 1.1347,                0.95204,                 0.7952,                0.77159,                0.86114,                0.75528,                 0.5755,                 1.0874,                 1.0341,             0.00025058,             0.00025058,             0.00025058
                     18,                0.57413,                 1.1152,                0.96626,                 0.7977,                0.76604,                0.85339,                0.74322,                0.57424,                 1.1535,                 1.0442,             0.00024509,             0.00024509,             0.00024509
                     19,                0.54701,                  1.066,                0.94808,                0.81659,                0.69668,                0.82928,                0.71885,                 0.5791,                 1.3405,                 1.0577,             0.00023959,             0.00023959,             0.00023959
                     20,                0.52237,                 1.0178,                 0.9356,                0.88249,                0.66043,                 0.8399,                0.73608,                 0.5628,                  1.183,                 1.0411,              0.0002341,              0.0002341,              0.0002341
                     21,                0.56035,                 1.0346,                 0.9602,                  0.832,                0.69635,                0.83457,                0.73541,                0.55794,                 1.1825,                 1.0377,              0.0002286,              0.0002286,              0.0002286
                     22,                  0.531,                 1.0103,                0.95135,                0.75945,                0.77464,                 0.8546,                0.75949,                0.51815,                 1.0759,                 1.0171,             0.00022311,             0.00022311,             0.00022311
                     23,                0.53809,                0.99094,                0.94749,                0.71074,                0.71167,                0.80036,                 0.7005,                0.58113,                 1.1114,                 1.0724,             0.00021762,             0.00021762,             0.00021762
                     24,                0.50967,                0.96993,                0.94432,                0.71433,                0.73912,                0.83916,                0.73023,                0.55186,                 1.1372,                 1.0264,             0.00021212,             0.00021212,             0.00021212
                     25,                0.51273,                0.93177,                0.93975,                0.75244,                0.74396,                0.83317,                0.73141,                0.53687,                 1.1037,                 1.0286,             0.00020663,             0.00020663,             0.00020663
                     26,                0.51187,                0.91333,                 0.9375,                 0.8736,                 0.7832,                0.87445,                0.77368,                0.53092,                 1.0508,                 1.0158,             0.00020113,             0.00020113,             0.00020113
                     27,                 0.5103,                0.89695,                0.93515,                0.76976,                0.80814,                 0.8672,                 0.7757,                0.52896,                0.96494,                0.99799,             0.00019564,             0.00019564,             0.00019564
                     28,                0.50339,                0.86999,                0.92806,                0.80319,                0.78177,                0.86773,                0.76647,                0.53884,                 1.0161,                 1.0186,             0.00019014,             0.00019014,             0.00019014
                     29,                0.48268,                0.83464,                 0.9242,                0.82577,                0.84286,                0.90197,                0.79474,                0.54816,                0.90919,                  1.021,             0.00018465,             0.00018465,             0.00018465
                     30,                0.48539,                0.82286,                0.92591,                0.78579,                0.81053,                0.88819,                0.77836,                0.54893,                0.95939,                 1.0266,             0.00017915,             0.00017915,             0.00017915
                     31,                0.48066,                0.81303,                0.91654,                0.74749,                0.78969,                0.84569,                0.74402,                0.54696,                 1.1177,                 1.0131,             0.00017366,             0.00017366,             0.00017366
                     32,                0.47861,                0.80274,                 0.9187,                0.80494,                0.80917,                0.88817,                0.78034,                0.55193,                0.96117,                 1.0339,             0.00016817,             0.00016817,             0.00016817
                     33,                0.48085,                0.78244,                0.92154,                0.83602,                0.75995,                0.88366,                0.77059,                0.55855,                0.93625,                 1.0406,             0.00016267,             0.00016267,             0.00016267
                     34,                0.48263,                0.79481,                0.92633,                0.76892,                0.77545,                0.85911,                 0.7758,                0.51156,                0.94648,                 1.0091,             0.00015718,             0.00015718,             0.00015718
                     35,                0.49299,                0.79925,                0.93297,                0.74704,                0.83068,                0.87274,                0.77981,                0.51057,                0.90414,                0.99412,             0.00015168,             0.00015168,             0.00015168
                     36,                0.46842,                0.73737,                0.91905,                0.72928,                0.81694,                0.85976,                0.75796,                0.52552,                 1.0217,                  1.005,             0.00014619,             0.00014619,             0.00014619
                     37,                0.47017,                0.74674,                0.91706,                 0.8467,                0.78809,                0.87313,                0.75932,                0.55396,                 1.0174,                  1.028,             0.00014069,             0.00014069,             0.00014069
